aaron	a: r O n	all
ab	a: p j E	all
abbadísin	a p a t i s I n	all
abbas	a p a s	all
abbast	a p a s t	all
abc	a: p j E s j E	all
abdul	a p t u l	all
abdullah	a p t u l a	all
abe	ei: p	all
abel	a: p E l	all
aber	a: p E r	all
about	a p au Y t	all
abraham	a: p r a h a m	all
abs	a p s	all
absolute	a p s O l u t	all
absolutely	a p s O l u t l i	all
abstrakta	a p s t r a x t a	all
abstrakt	a p s t r a x t	all
abstrakti	a p s t r a x t I	all
abstraktið	a p s t r a x t I D	all
abstraktinu	a p s t r a x t I n Y	all
abstraktsins	a p s t r a x t s I n s	all
abu	a p u	all
ac	a: s j E	all
access	a k s E s	all
accessibility	a k s E s I p I l I t i	all
accident	a k s I t E n_0 t	all
account	a k_h au n_0 t	all
acer	a: s E r	all
acid	a: s I t	all
act	a x t	all
actions	a k s j O n s	all
active	a x t I v	all
actors	a x t O r_0 s	all
actually	a k s j u l i	all
adam	a: t a m	all
adams	a: t a m s	all
ad	a: t	all
adda	a t a	all
add	a t	all
added	a t E t	all
addi	a t I	all
address	a t r E s	all
adds	a t s	all
adebayor	a: t E p ai O r	all
adhd	a: t j E h au t j E	all
adidas	a: t I t a s	all
adolf	a: t O l f	all
adolfs	a: t O l f s	standard_clear
adolfs	a: t O l s	standard_cas
adolfsson	a: t O l f s O n	standard_clear
adolfsson	a: t O l s O n	standard_cas
adrian	a t r i a n	all
advania	a t v a n i j a	all
aðal	a: D a l	all
aðalatriði	a: D a l a t_h r I D I	north_clear
aðalatriði	a: D a l a t r I D I	standard_clear
aðalatriðið	a: D a l a t_h r I D I D	north_clear
aðalatriðið	a: D a l a t r I D I D	standard_clear
aðalatriðum	a: D a l a t_h r I D Y m	north_clear
aðalatriðum	a: D a l a t r I D Y m	standard_clear
aðaláfrýjanda	a: D a l au f r i j a n t a	all
aðaláfrýjandi	a: D a l au f r i j a n t I	all
aðaláhugamál	a: D a l au h Y G a m au l	all
aðalástæðan	a: D a l au s t ai D a n	all
aðalbjörg	a: D a l p j 9 r k	all
aðalbraut	a: D a l p r 9i t_h	north_clear
aðalbraut	a: D a l p r 9i t	standard_clear
aðalbyggingu	a: D a l p I c i N k Y	all
aðalbyggingunni	a: D a l p I c i N k Y n I	all
aðaldal	a: D a l t a l	all
aðaleigandi	a: D a l ei G a n t I	all
aðaleinkenni	a: D a l ei J c_h E n I	all
aðaleinkunn	a: D a l ei N_0 k Y n	standard_clear
aðaleinkunn	a: D a l ei N k_h Y n	northeast_clear
aðalframkvæmdastjóri	a: D a l f r a m k_h v ai m t a s t j ou r I	all
aðalfréttirnar	a: D a l f r j E h t I r t n a r	standard_clear
aðalfréttirnar	a: D a l f r j E h t I t n a r	standard_cas
aðalfulltrúar	a: D a l f Y t l_0 t_h r u a r	all
aðalfund	a: D a l f Y n t	all
aðalfundar	a: D a l f Y n t a r	all
aðalfundardegi	a: D a l f Y n t a r t ei j I	all
aðalfundarstörf	a: D a l f Y n t a r_0 s t 9 r v	all
aðalfundarstörfum	a: D a l f Y n t a r_0 s t 9 r v Y m	all
aðalfundi	a: D a l f Y n t I	all
aðalfundinum	a: D a l f Y n t I n Y m	all
aðalfundur	a: D a l f Y n t Y r	all
aðalhagfræðingur	a: D a l h a x f r ai D i N k Y r	all
aðalheiðar	a: D a l h ei D a r	all
aðalheiður	a: D a l h ei D Y r	all
aðalhlutverk	a: D a l_0 Y t_h v E r_0 k	north_clear
aðalhlutverk	a: D a l_0 Y t v E r_0 k	standard_clear
aðalhlutverki	a: D a l_0 Y t_h v E r_0 c I	north_clear
aðalhlutverki	a: D a l_0 Y t v E r_0 c I	standard_clear
aðalhlutverkið	a: D a l_0 Y t_h v E r_0 c I D	north_clear
aðalhlutverkið	a: D a l_0 Y t v E r_0 c I D	standard_clear
aðalhlutverkin	a: D a l_0 Y t_h v E r_0 c I n	north_clear
aðalhlutverkin	a: D a l_0 Y t v E r_0 c I n	standard_clear
aðalhlutverkinu	a: D a l_0 Y t_h v E r_0 c I n Y	north_clear
aðalhlutverkinu	a: D a l_0 Y t v E r_0 c I n Y	standard_clear
aðalhlutverkum	a: D a l_0 Y t_h v E r_0 k Y m	north_clear
aðalhlutverkum	a: D a l_0 Y t v E r_0 k Y m	standard_clear
aðalkostur	a: D a l k_h O s t Y r	all
aðalkrafa	a: D a l k_h r a v a	all
aðalkröfu	a: D a l k_h r 9 v Y	all
aðalkvöldfréttatími	a: D a l k_h v 9 l t f r j E h t a t_h i m I	all
aðallandstjórans	a: D a l a n s t j ou r a n s	standard_cas
aðallandstjórans	a: D a l a n t s t j ou r a n s	standard_clear
aðallega	a: D a l E G a	all
aðallega	a: D a l E G a	all
aðalleiðbeinandi	a: D a l ei D p ei n a n t I	all
aðalleikendur	a: D a l ei k E n t Y r	standard_clear
aðalleikendur	a: D a l ei k_h E n t Y r	northeast_clear
aðalleit	a: D a l ei t_h	north_clear
aðalleit	a: D a l ei t	standard_clear
aðalliði	a: D a l I D I	all
aðalliðinu	a: D a l I D I n Y	all
aðallista	a: D a l I s t a	all
aðalmarkvörður	a: D a l m a r_0 k v 9 r D Y r	all
aðalmálið	a: D a l m au l I D	all
aðalmeðferð	a: D a l m E D f E r D	all
